issn_input_cr,title_cr,publisher_cr,total_dois_cr
1016-0728,Journal of Humanities,African Journals Online ,32
1998-1279,Journal of Language Technology & Entrepreneurship in Africa,African Journals Online ,94
1595-8922,Journal of Librarianship and Information Science in Africa,African Journals Online ,8
2026-6294,Journal of Medical and Biomedical Sciences,African Journals Online ,74
1116-1043,Journal of Medical Laboratory Science,African Journals Online ,112
1596-6941,Journal of Medicine and Biomedical Research,African Journals Online ,89
1119-3999,Journal of Medicine and Medical Sciences,African Journals Online ,9
2276-7096,Journal of Medicine in the Tropics,Medknow Publications,336
2006-7003,NA,NA,NA
1116-2775,Journal of Mining and Geology,African Journals Online ,132
1596-3497,Journal of Modeling Design and Management of Engineering Systems,African Journals Online ,34
1012-8867,NA,NA,NA
1596-8499,Journal of Pharmaceutical and Allied Sciences,African Journals Online ,133
0189-8442,Journal of Pharmacy & Bioresources,African Journals Online ,371
0855-6660,Journal of Philosophy and Culture,African Journals Online ,34
1118-1028,Journal of Phytomedicine and Therapeutics,African Journals Online ,56
1433-0237,Journal of Psychology in Africa,Informa UK (Taylor & Francis),1411
2006-5442,Journal of Religion and Human Relations,African Journals Online ,16
2141-1778,NA,NA,NA
1596-8308,Journal of Research in National Development,African Journals Online ,228
2070-1748,Journal of Science and Sustainable Development,African Journals Online ,64
0855-0395,Journal of Science and Technology (Ghana),African Journals Online ,513
1027-4928,Journal of Science and Technology (Zambia),African Journals Online ,41
1012-1080,Journal of Social Development in Africa,African Journals Online ,127
2507-7783,NA,NA,NA
2591-6955,NA,NA,NA
2307-6267,Journal of Student Affairs in Africa,Journal of Student Affairs in Africa,211
2006-8808,Journal of Surgical Technique and Case Report,CLOCKSS Archive,164
2467-8406,Journal of Sustainable Development Law and Policy (The),African Journals Online ,132
2467-8392,Journal of Sustainable Development Law and Policy (The),African Journals Online ,132
1118-5570,Journal of Technology and Education in Nigeria,African Journals Online ,123
1597-0597,NA,NA,NA
2617-3948,Journal of the Cameroon Academy of Sciences,African Journals Online ,63
1998-6017,Journal of the Eritrean Medical Association,African Journals Online ,61
0855-3823,Journal of the Ghana Science Association,African Journals Online ,309
1812-1004,Journal of Musical Arts in Africa,National Inquiry Services Center (NISC),225
2070-626X,Journal of Musical Arts in Africa,National Inquiry Services Center (NISC),225
1116-4336,Journal of the Nigerian Association of Mathematical Physics,African Journals Online ,355
1119-1716,Journal of the Nigerian Infection Control Association,African Journals Online ,19
0795-0039,Journal of the Nigerian Optometric Association,African Journals Online ,75
0331-3727,Journal of the Obafemi Awolowo University Medical Student s Association (IFEMED),African Journals Online ,45
1012-2796,Journal of the South African Society of Archivists,African Journals Online ,17
1607-4106,Journal of Tropical Microbiology and Biotechnology,African Journals Online ,68
1737-7803,Journal Tunisien d ORL et de Chirurgie Cervico-Faciale,African Journals Online ,128
2006-4772,Kanem Journal of Medical Sciences,University of Maiduguri - College of Medical Sciences,59
2714-2426,Kanem Journal of Medical Sciences,University of Maiduguri - College of Medical Sciences,59
2072-7992,KCA Journal of Business Management,African Journals Online ,24
2071-2162,KCA Journal of Business Management,African Journals Online ,24
0256-5161,Kenya Veterinarian,African Journals Online ,135
0856-552X,Kioo cha Lugha,African Journals Online ,23
0023-1886,Kiswahili,African Journals Online ,11
1596-5031,Lagos Historical Review,African Journals Online ,145
1596-9487,Lagos Journal of Library and Information Science,African Journals Online ,56
0075-7640,Lagos Notes and Records,African Journals Online ,56
2077-4907,Law Democracy & Development,Academy of Science of South Africa,173
1118-3713,LBS Management Review,African Journals Online ,48
0855-1502,Legon Journal of the Humanities,African Journals Online ,100
2458-746X,Legon Journal of the Humanities,African Journals Online ,100
2437-0568,NA,NA,NA
1012-0009,NA,NA,NA
1684-4904,Lexikos,Stellenbosch University - Lexikos,343
2224-0039,NA,NA,NA
1993-2820,Libyan Journal of Medicine,Informa UK (Taylor & Francis),621
1819-6357,Libyan Journal of Medicine,Informa UK (Taylor & Francis),621
1813-2227,Lwati A Journal of Contemporary Research,African Journals Online ,307
1662-2510,Madagascar Conservation & Development,African Journals Online ,180
1816-6822,Makerere Journal of Higher Education,African Journals Online ,167
2707-6113,NA,NA,NA
1019-7079,Malawi Journal of Science and Technology,African Journals Online ,12
1995-7262,Malawi Medical Journal,African Journals Online ,579
2676-184X,Management & Economics Research Journal,"""Management & Economics Research Journal, Ziane Achour University of Djelfa""",93
2710-8856,Management & Economics Research Journal,"""Management & Economics Research Journal, Ziane Achour University of Djelfa""",93
1816-7659,Marang Journal of Language and Literature,African Journals Online ,58
1119-409X,Mary Slessor Journal of Medicine,African Journals Online ,109
0855-4706,Mathematics Connection,African Journals Online ,65
0047-651X,Medical Journal of Zambia,African Journals Online ,33
2346-7126,NA,NA,NA
2682-4132,NA,NA,NA
2682-4140,Microbes and Infectious Diseases,Egypts Presidential Specialized Council for Education and Scientific Research,205
1998-9881,Mizan Law Review,African Journals Online ,192
2309-902X,NA,NA,NA
2073-073X,Momona Ethiopian Journal of Science,African Journals Online ,212
2220-184X,NA,NA,NA
1595-4153,Moor Journal of Agricultural Research,African Journals Online ,105
1607-0011,Mtafiti Mwafrika (African Researcher),African Journals Online ,19
1607-2820,NA,NA,NA
1687-1219,New Egyptian Journal of Microbiology,African Journals Online ,24
0300-368X,Nigeria Agricultural Journal,African Journals Online ,237
0794-067X,Nigeria Journal of Business Administration,African Journals Online ,15
1596-0862,Nigeria Journal of Pure and Applied Physics,African Journals Online ,61
0189-1006,Nigerian Dental Journal,African Journals Online ,67
2251-0362,NA,NA,NA
0189-7241,Nigerian Food Journal,Elsevier ,428
1597-4292,NA,NA,NA
1597-7889,Nigerian Hospital Practice,African Journals Online ,116
0331-2062,Nigerian Journal of Animal Production,Nigerian Society for Animal Production (NSAP),2226
1119-4308,Tropical Journal of Animal Science,African Journals Online ,267
0794-5698,Nigerian Journal of Basic and Applied Sciences,African Journals Online ,328
0189-1731,Nigerian Journal of Biotechnology,African Journals Online ,236
1119-0221,Nigerian Journal of Chemical Research,African Journals Online ,84
1118-4035,Nigerian Journal of Clinical and Counselling Psychology,African Journals Online ,28
2141-1123,Nigerian Journal of Clinical Medicine,African Journals Online ,78
1119-3077,Nigerian Journal of Clinical Practice,Medknow Publications,1526
2636-4956,Nigerian Journal of Dental Research,African Journals Online ,23
2714-4089,Nigerian Journal of Dental Research,African Journals Online ,23
2141-9884,NA,NA,NA
1597-443X,Nigerian Journal of Fisheries,African Journals Online ,31
2251-0079,NIGERIAN JOURNAL OF GASTROENTEROLOGY AND HEPATOLOGY,Medknow Publications,23
1118-4647,Nigerian Journal of General Practice,Medknow Publications,101
0189-9686,Nigerian Journal of Genetics,Elsevier ,62
0794-0831,Nigerian Journal of Guidance and Counselling,African Journals Online ,183
1595-8272,Nigerian Journal of Health and Biomedical Sciences,African Journals Online ,252
1118-2733,Nigerian Journal of Horticultural Science,African Journals Online ,106
1115-2613,Nigerian Journal of Medicine,Medknow Publications,895
2667-0526,NA,NA,NA
1118-6267,Nigerian Journal of Natural Products and Medicine,African Journals Online ,338
0189-0913,Nigerian Journal of Nutritional Sciences,African Journals Online ,57
0189-9171,Nigerian Journal of Ophthalmology,Medknow Publications,341
2468-8363,NA,NA,NA
1596-4582,Nigerian Journal of Orthopaedics and Trauma,Medknow Publications,231
0302-4660,Nigerian Journal of Paediatrics,African Journals Online ,520
1117-4145,Nigerian Journal of Parasitology,African Journals Online ,491
0189-8434,Nigerian Journal of Pharmaceutical Research,African Journals Online ,102
1595-0611,Nigerian Journal of Physics,African Journals Online ,197
0794-859X,Nigerian Journal of Physiological Sciences,African Journals Online ,134
0794-9316,Nigerian Journal of Plastic Surgery,Medknow Publications,132
2006-8530,Nigerian Journal of Postgraduate Medicine,African Journals Online ,15
0189-1774,Nigerian Journal of Psychiatry,African Journals Online ,86
1595-6121,Nigerian Journal of Soil and Environmental Research,African Journals Online ,44
1117-6806,Nigerian Journal of Surgery,Medknow Publications,224
1595-1103,Nigerian Journal of Surgical Research,CLOCKSS Archive,268
1116-5898,Nigerian Journal of Surgical Sciences,Medknow Publications,110
0189-9546,Nigerian Journal of Technological Development,African Journals Online ,159
2437-2110,Nigerian Journal of Technological Development,African Journals Online ,159
0795-5111,Nigerian Journal of Technological Research,African Journals Online ,339
0331-8443,Nigerian Journal of Technology,African Journals Online ,1017
2467-8821,Nigerian Journal of Technology,African Journals Online ,1017
0029-0122,Nigerian Libraries,African Journals Online ,33
0300-1652,Nigerian Medical Journal,Medknow Publications,621
2229-774X,NA,NA,NA
0189-0964,Nigerian Medical Practitioner,African Journals Online ,337
1116-428X,Nigerian Music Review,African Journals Online ,24
0189-2657,Nigerian Quarterly Journal of Hospital Medicine,African Journals Online ,562
0331-8214,NA,NA,NA
0331-3026,Nigerian Veterinary Journal,African Journals Online ,364
2276-7371,NA,NA,NA
1027-9148,Obstetrics and Gynaecology Forum,African Journals Online ,145
1597-474X,OGIRISI a New Journal of African Studies,African Journals Online ,161
2226-4485,Open Veterinary Journal,ScopeMed,401
2218-6050,Open Veterinary Journal,ScopeMed,401
2644-3740,NA,NA,NA
1115-0521,Orient Journal of Medicine,African Journals Online ,102
0529-191-X,NA,NA,NA
2304-8239,NA,NA,NA
0030-6525,Ostrich,National Inquiry Services Center (NISC),4110
1727-947X,Ostrich,National Inquiry Services Center (NISC),4110
0795-9478,OYE Ogun Journal of Arts,African Journals Online ,19
1937-8688,Pan African Medical Journal,Pan African Medical Journal,8193
0258-2236,Perspectives in Education,Sun Media Bloemfontein Pty Ltd,267
0556-8641,Philosophical Papers,Informa UK (Taylor & Francis),886
1119-2283,Plant Products Research Journal,African Journals Online ,56
0795-3038,Port Harcourt Medical Journal,Medknow Publications,370
1727-3781,Potchefstroom Electronic Law Journal/Potchefstroomse Elektroniese Regsblad,Academy of Science of South Africa,1378
1607-3606,Quaestiones Mathematicae,National Inquiry Services Center (NISC),2226
1727-933X,Quaestiones Mathematicae,National Inquiry Services Center (NISC),2226
2026-6324,NA,NA,NA
2224-3534,Research in Hospitality Management,Informa UK (Taylor & Francis),248
2415-5152,Research in Hospitality Management,Informa UK (Taylor & Francis),248
2360-7793,Research Journal of Health Sciences,African Journals Online ,181
2467-8252,Research Journal of Health Sciences,African Journals Online ,181
0855-4412,Research Review of the Institute of African Studies,African Journals Online ,151
1024-4190,Review of Southern African Studies,African Journals Online ,52
1997-3756,Revue Africaine de Chirurgie et Spécialités,African Journals Online ,37
0773-8439,Revue Burkinabè de droit,African Journals Online ,22
1111-0015,Revue d Information Scientifique et Technique,African Journals Online ,74
2226-2903,NA,NA,NA
2410-8936,NA,NA,NA
2305-2678,Rwanda Journal,African Journals Online ,219
2707-7209,NA,NA,NA
2617-2321,Rwanda Journal of Engineering Science Technology and Environment,African Journals Online ,62
2617-233X,Rwanda Journal of Engineering Science Technology and Environment,African Journals Online ,62
2226-728X,Rwanda Journal of Health Sciences,African Journals Online ,5
2616-9819,Rwanda Journal of Medicine and Health Sciences,African Journals Online ,123
2616-9827,Rwanda Journal of Medicine and Health Sciences,African Journals Online ,123
2708-759X,Rwanda Journal of Social Sciences Humanities and Business,African Journals Online ,18
2708-7603,Rwanda Journal of Social Sciences Humanities and Business,African Journals Online ,18
2410-8626,NA,NA,NA
2312-9239,NA,NA,NA
1027-202X,South African Journal of Radiology,AOSIS,1112
2078-6778,South African Journal of Radiology,AOSIS,1112
1024-9451,SAFERE Southern African Feminist Review,African Journals Online ,43
1729-0376,SAHARA-J Journal of Social Aspects of HIV/AIDS,Informa UK (Taylor & Francis),387
1813-4424,SAHARA-J Journal of Social Aspects of HIV/AIDS,Informa UK (Taylor & Francis),387
1117-6210,Sahel Journal of Veterinary Sciences,"""Faculty of Veterinary Medicine, University of Maiduguri""",49
1118-8561,Sahel Medical Journal,Medknow Publications,564
1596-5414,Samaru Journal of Information Studies,African Journals Online ,45
2276-6839,Savannah Journal of Medical Research and Practice,African Journals Online ,53
1011-6028,NA,NA,NA
1597-6343,Science World Journal,African Journals Online ,141
2226-7522,Science Technology and Arts Research Journal,African Journals Online ,417
2305-3372,Science Technology and Arts Research Journal,African Journals Online ,417
1812-0741,Sciences & Nature,African Journals Online ,78
1118-1931,Scientia Africana,African Journals Online ,80
1022-8136,Scientia Militaria South African Journal of Military Studies,Stellenbosch University - Scientia Militaria,1145
2224-0020,Scientia Militaria South African Journal of Military Studies,Stellenbosch University - Scientia Militaria,1145
1110-5607,Scientific Medical Journal,African Journals Online ,52
0250-4162,NA,NA,NA
2313-1799,NA,NA,NA
0189-9759,Securities Market Journal,African Journals Online ,9
1011-582X,Shakespeare in Southern Africa,African Journals Online ,157
2076-6270,Sierra Leone Journal of Biomedical Research,African Journals Online ,63
0379-2897,SINET Ethiopian Journal of Science,African Journals Online ,277
2520-7997,NA,NA,NA
2536-7153,Sokoto Journal of Medical Laboratory Science,African Journals Online ,15
1595-093X,Sokoto Journal of Veterinary Sciences,African Journals Online ,360
1119-443X,Sophia An African Journal of Philosophy,African Journals Online ,240
1680-2179,South African Actuarial Journal,African Journals Online ,98
1991-3877,South African Crime Quarterly,Academy of Science of South Africa,480
2078-6190,South African Family Practice,AOSIS,2262
2078-6204,South African Family Practice,AOSIS,2262
1812-1659,South African Gastroenterology Review,African Journals Online ,69
0379-9069,South African Journal for Research in Sport Physical Education and Recreation,African Journals Online ,243
0257-2117,South African Journal of African Languages,Informa UK (Taylor & Francis),1396
2305-1159,South African Journal of African Languages,Informa UK (Taylor & Francis),1396
0301-603X,NA,NA,NA
2413-3221,South African Journal of Agricultural Extension (SAJAE),Academy of Science of South Africa,187
0375-1589,South African Journal of Animal Science,African Journals Online ,1496
2221-4062,South African Journal of Animal Science,African Journals Online ,1496
1999-7639,South African Journal of Bioethics and Law,South African Medical Association NPC,269
0254-6299,South African Journal of Botany,Elsevier ,7180
0379-4350,South African Journal of Chemistry,Academy of Science of South Africa,140
1994-3032,South African Journal of Child Health,South African Medical Association NPC,402
1999-7671,South African Journal of Child Health,South African Medical Association NPC,402
1011-3053,South African Journal of Cultural History,African Journals Online ,104
0256-0100,South African Journal of Education,Education Association of South Africa,831
2076-3433,South African Journal of Education,Education Association of South Africa,831
2225-8531,South African Journal of Geomatics,African Journals Online ,141
1011-3487,South African Journal of Higher Education,African Journals Online ,777
0038-2329,South African Journal of Obstetrics and Gynaecology,South African Medical Association NPC,257
2305-8862,South African Journal of Obstetrics and Gynaecology,South African Medical Association NPC,257
0258-0136,South African Journal of Philosophy,Informa UK (Taylor & Francis),829
0257-1862,South African Journal of Plant and Soil,Informa UK (Taylor & Francis),1551
2167-034X,South African Journal of Plant and Soil,Informa UK (Taylor & Francis),1551
1608-9685,South African Journal of Psychiatry,AOSIS,618
2078-6786,South African Journal of Psychiatry,AOSIS,618
1015-5163,South African Journal of Sports Medicine,Academy of Science of South Africa,826
2078-516X,South African Journal of Sports Medicine,Academy of Science of South Africa,826
0038-2353,South African Journal of Science,Academy of Science of South Africa,1709
1996-7489,South African Journal of Science,Academy of Science of South Africa,1709
0038-2361,South African Journal of Surgery,Academy of Science of South Africa,336
2078-5151,South African Journal of Surgery,Academy of Science of South Africa,336
2078-5135,South African Medical Journal,South African Medical Association NPC,4128
0256-95749,South African Medical Journal,South African Medical Association NPC,4128
0258-509X,South African Music Studies,African Journals Online ,52
2309-4605,South Sudan Medical Journal,African Journals Online ,8
2309-4613,South Sudan Medical Journal,African Journals Online ,8
1819-3692,Southern Africa Journal of Education Science and Technology,African Journals Online ,43
1561-896X,NA,NA,NA
1998-8125,Southern African Business Review,UNISA Press,123
2220-1181,Southern African Journal of Anaesthesia and Analgesia,Medpharm Publications,1047
2220-1173,Southern African Journal of Anaesthesia and Analgesia,Medpharm Publications,1047
1562-8264,Southern African Journal of Critical Care,South African Medical Association NPC,157
2078-676X,Southern African Journal of Critical Care,South African Medical Association NPC,157
1810-0333,Southern African Journal of Environmental Education,African Journals Online ,53
2411-5959,Southern African Journal of Environmental Education,African Journals Online ,53
1608-9693,Southern African Journal of HIV Medicine,AOSIS,728
2078-6751,Southern African Journal of HIV Medicine,AOSIS,728
1607-3614,Southern African Linguistics and Applied Language Studies,National Inquiry Services Center (NISC),694
1727-9461,Southern African Linguistics and Applied Language Studies,National Inquiry Services Center (NISC),694
2070-2620,Southern Forests a Journal of Forest Science,National Inquiry Services Center (NISC),487
2070-2639,Southern Forests a Journal of Forest Science,National Inquiry Services Center (NISC),487
1027-3417,Stellenbosch Papers in Linguistics,Stellenbosch University - SPIL,196
2223-9936,Stellenbosch Papers in Linguistics,Stellenbosch University - SPIL,196
2224-3380,Stellenbosch Papers in Linguistics Plus,Stellenbosch University - SPILPlus,447
0855-9449,Studies in Gender and Development in Africa,African Journals Online ,15
0796-5419,Sud Sciences et Technologies,African Journals Online ,13
1858-5051,Sudan Journal of Medical Sciences,Knowledge E,469
1815-3941,Sudanese Journal of Dermatology,African Journals Online ,82
1111-4924,Synthèse Revue des Sciences et de la Technologie,TechKnowledge General Trading LLC,53
2352-9717,NA,NA,NA
0856-0625,Tanzania Dental Journal,African Journals Online ,58
0856-9622,Tanzania Journal of Development Studies,African Journals Online ,30
2591-6831,NA,NA,NA
2408-8129,NA,NA,NA
2408-8137,NA,NA,NA
1821-6404,Tanzania Journal of Health Research,African Journals Online ,569
1821-9241,NA,NA,NA
0856-1761,Tanzania Journal of Science,African Journals Online ,278
2507-7961,NA,NA,NA
0856-0714,Tanzania Medical Journal,African Journals Online ,102
0856-1451,Tanzania Veterinary Journal,African Journals Online ,70
2714-206X,NA,NA,NA
1111-0902,Technologies Avancées,African Journals Online ,34
0251-043X,Thought and Practice,African Journals Online ,68
2076-7714,Thought and Practice,African Journals Online ,68
1012-280X,Town and Regional Planning,Sun Media Bloemfontein Pty Ltd,99
2415-0495,Town and Regional Planning,Sun Media Bloemfontein Pty Ltd,99
0254-2765,Transactions of the Zimbabwe Scientific Association,African Journals Online ,37
0795-0101,Tropical Freshwater Biology,African Journals Online ,213
1117-4153,Tropical Journal of Health Sciences,African Journals Online ,177
1119-0388,Tropical Journal of Medical Research,Medknow Publications,257
0189-5117,Tropical Journal of Obstetrics and Gynaecology,Medknow Publications,490
1596-5996,Tropical Journal of Pharmaceutical Research,African Journals Online ,3178
1596-9827,Tropical Journal of Pharmaceutical Research,African Journals Online ,3178
0794-4845,Tropical Veterinarian,African Journals Online ,110
0041-476X,Tydskrif vir letterkunde,Academy of Science of South Africa,1095
2309-9070,NA,NA,NA
0041-574X,Uganda Journal,African Journals Online ,62
1026-0919,Uganda Journal of Agricultural Sciences,African Journals Online ,64
2410-6909,Uganda Journal of Agricultural Sciences,African Journals Online ,64
1595-1413,UJAH Unizik Journal of Arts and Humanities,African Journals Online ,311
1021-0873,UNISWA Journal of Agriculture,African Journals Online ,50
1029-9645,UNISWA Research Journal of Agriculture Science and Technology,African Journals Online ,135
0856-1818,University of Dar es Salaam Library Journal,African Journals Online ,93
1694-0342,University of Mauritius Research Journal,African Journals Online ,5
1606-7479,Vulture News,African Journals Online ,128
0378-4738,Water SA,Academy of Science of South Africa,1401
0855-4307,West African Journal of Applied Ecology,African Journals Online ,194
1116-5405,NA,NA,NA
0189-160X,West African Journal of Medicine,African Journals Online ,522
0303-691X,West African Journal of Pharmacology and Drug Research,African Journals Online ,160
1115-3474,West African Journal of Radiology,Medknow Publications,328
0856-860X,Western Indian Ocean Journal of Marine Science,African Journals Online ,223
1687-8671,Zagazig Journal of Occupational Health and Safety,African Journals Online ,14
0379-0622,Zambezia The Journal of Humanities of the University of Zimbabwe,African Journals Online ,64
0514-6216,NA,NA,NA
1013-3445,Zimbabwe Journal of Educational Research,African Journals Online ,90
2079-8997,Zimbabwe Journal of Technological Sciences,African Journals Online ,6
1016-1503,Zimbabwe Science News,African Journals Online ,36
1016-1511,Zimbabwe Veterinary Journal,African Journals Online ,66
1596-972X,Zoologist (The),African Journals Online ,101
