Journal title,Journal URL,ISSN,eISSN,Publisher,JPPS rating,Notes,in DOAJ
Acta Structilia,https://www.ajol.info/index.php/actas,1023-0564,2415-0487,,ONE-STAR,,DOAJ
Acta Theologica,https://www.ajol.info/index.php/actat,1015-8758,2309-9089,University of the Free State,ONE-STAR,,
Africa Development,https://www.ajol.info/index.php/ad,,0850-3907,CODESRIA,NO-STARS,,
Africa Sanguine,https://www.ajol.info/index.php/asan,1560-8646,,National Bioproducts Institute (NBI) of South Africa,NO-STARS,,
African Crop Science Journal,https://www.ajol.info/index.php/acsj,1021-9730,2072-6589,,ONE-STAR,,
African Health Sciences,https://www.ajol.info/index.php/ahs,,1680-6905,,ONE-STAR,,
African Journal of Biomedical Research,https://www.ajol.info/index.php/ajbr,,1119-5096,Biomedical Communications Group,NO-STARS,,
African Journal of Biotechnology,https://www.ajol.info/index.php/ajb,,1684-5315,Academic Journals,ONE-STAR,no longer included in AJOL,
African Journal of Chemical Education,https://www.ajol.info/index.php/ajce,2227-5835,,Federation of African Societies of Chemistry (FASC),NO-STARS,,
African Journal of Clinical and Experimental Microbiology,https://www.ajol.info/index.php/ajcem,,1595-689X,African Society for Clinical Microbiology,ONE-STAR,,
African Journal of Drug and Alcohol Studies,https://www.ajol.info/index.php/ajdas,1531-4065,1531-4065,African Centre for Research and Information on Substance Abuse (CRISA),NO-STARS,,
African Journal of Economic Review,https://www.ajol.info/index.php/ajer,1821-8148,2453-5966,Open University of Tanzania,NO-STARS,,
African Journal of Educational Studies in Mathematics and Sciences,https://www.ajol.info/index.php/ajesms,2508-1128,,,PENDING,,
African Journal of Environmental Science and Technology,https://www.ajol.info/index.php/ajest,1996-0786,1996-0786,Academic Journals,ONE-STAR,no longer included in AJOL,
"African Journal of Food, Agriculture, Nutrition and Development",https://www.ajol.info/index.php/ajfand,1684-5358,1684-5374,African Scholarly Science Communications Trust,ONE-STAR,,
African Journal of Health Professions Education,https://www.ajol.info/index.php/ajhpe,,,,ONE-STAR,,DOAJ
African Journal of Infectious Diseases,https://www.ajol.info/index.php/ajid,,2006-0165,,ONE-STAR,,
African Journal of Management Research,https://www.ajol.info/index.php/ajmr,2343-6689,2458-7435,,NO-STARS,,
African Journal of Neurological Sciences,https://www.ajol.info/index.php/ajns,1992-2647,1015-8618,Pan African Association of Neurological Sciences (PAANS),NO-STARS,,
African Journal of Oral Health,https://www.ajol.info/index.php/ajoh,,0189-5710,,PENDING,,
African Journal of Physiotherapy and Rehabilitation Sciences,https://www.ajol.info/index.php/ajprs,,2141-8322,,NO-STARS,,
African Journal of Reproductive Health,https://www.ajol.info/index.php/ajrh,,1118-4841,Women’s Health and Action Research Centre (WHARC),ONE-STAR,,
African Journal of Social Work,https://www.ajol.info/index.php/ajsw,1563-3934,2409-5605,,ONE-STAR,,DOAJ
"African Journal of Traditional, Complementary and Alternative Medicines",https://www.ajol.info/index.php/ajtcam,,0189-6016,African Traditional Herbal Medicine Supporters Initiative (ATHMSI),ONE-STAR,,
African Journal of Urology,https://www.ajol.info/index.php/aju,,1110-5704,Springer,ONE-STAR,,DOAJ
African Journal on Conflict Resolution,https://www.ajol.info/index.php/ajcr,,1562-6997,,ONE-STAR,,
African Research Review,https://www.ajol.info/index.php/afrrev,1994-9057,2070-0083,International Association Of African Researchers And Reviewers,ONE-STAR,,
African Safety Promotion: A Journal of Injury and Violence Prevention,https://www.ajol.info/index.php/asp,,1728-774X,University of South Africa,ONE-STAR,,
African Sociological Review / Revue Africaine de Sociologie,https://www.ajol.info/index.php/asr,,1027-4332,CODESRIA,NO-STARS,,
Afrika Statistika,https://www.ajol.info/index.php/afst,2316-090X,,,ONE-STAR,,
Afrique Science: Revue Internationale des Sciences et Technologie,https://www.ajol.info/index.php/afsci,,1813-548X,,ONE-STAR,,
AFRREV IJAH: An International Journal of Arts and Humanities,https://www.ajol.info/index.php/ijah,2225-8590,2227-5452,International Association Of African Researchers And Reviewers,NO-STARS,,
"AFRREV LALIGENS: An International Journal of Language, Literature and Gender Studies",https://www.ajol.info/index.php/laligens,2225-8604,2227-5460,International Association Of African Researchers And Reviewers,NO-STARS,,
AFRREV STECH: An International Journal of Science and Technology,https://www.ajol.info/index.php/stech,2225-8612,2227-5444,International Association Of African Researchers And Reviewers,NO-STARS,,
Agro-Science,https://www.ajol.info/index.php/as,,1119-7455,,NO-STARS,,
Agronomie Africaine,https://www.ajol.info/index.php/aga,,1015-2288,,PENDING,,
Agrosearch,https://www.ajol.info/index.php/agrosh,,1117-9996,,NO-STARS,,
Alexandria Journal of Medicine,https://www.ajol.info/index.php/bafm,1110-0834,2090-2948,,ONE-STAR,,
Anatomy Journal of Africa,https://www.ajol.info/index.php/aja,2226-6054,2305-9478,,ONE-STAR,,
Animal Research International,https://www.ajol.info/index.php/ari,,1597-3115,,NO-STARS,,
Annals of African Surgery,https://www.ajol.info/index.php/aas,1999-9674,2523-0816,,ONE-STAR,,DOAJ
Annals of Ibadan Postgraduate Medicine,https://www.ajol.info/index.php/aipm,,1597-1627,,ONE-STAR,,
Annals of Medical and Health Sciences Research,https://www.ajol.info/index.php/amhsr,2141-9248,,,ONE-STAR,,
Annals of Pediatric Surgery,https://www.ajol.info/index.php/aps,1687-4137,1687-4137,,PENDING,,DOAJ
Archives of Medical and Biomedical Research,https://www.ajol.info/index.php/ambr,1694-2086,1694-2078,,ONE-STAR,,
ATBU Journal of Environmental Technology,https://www.ajol.info/index.php/atbu,1596-6035,,,NO-STARS,,
Bayero Journal of Pure and Applied Sciences,https://www.ajol.info/index.php/bajopas,2006-6996,2006-6996,,NO-STARS,,
Bulletin of the Chemical Society of Ethiopia,https://www.ajol.info/index.php/bcse,1011-3924,1726-801X,,ONE-STAR,,DOAJ
ChemSearch Journal,https://www.ajol.info/index.php/csj,2276-707X,2384-6028,,ONE-STAR,,
Creative Artist: A Journal of Theatre and Media Studies,https://www.ajol.info/index.php/cajtms,2006-6910,,,NO-STARS,,
Critical Studies in Teaching and Learning,https://www.ajol.info/index.php/cristal,,2310-7103,,ONE-STAR,,
East African Orthopaedic Journal,https://www.ajol.info/index.php/eaoj,1994-1072,1994-1072,,NO-STARS,,
East and Central African Journal of Surgery,https://www.ajol.info/index.php/ecajs,,2073-9990,,NO-STARS,,
Economic and Policy Review,https://www.ajol.info/index.php/epr,,,,PENDING,,
Egyptian Journal of Medical Human Genetics,https://www.ajol.info/index.php/ejhg,,1110-8630,,ONE-STAR,,DOAJ
Egyptian Journal of Pediatric Allergy and Immunology (The),https://www.ajol.info/index.php/ejpai,,,,ONE-STAR,,
EJOTMAS: Ekpoma Journal of Theatre and Media Arts,https://www.ajol.info/index.php/ejotmas,2006-1838,2449-1179,,NO-STARS,,
Ethiopian Journal of Agricultural Sciences,https://www.ajol.info/index.php/ejas,0257-2605,2415-2382,,NO-STARS,,
Ethiopian Journal of Education and Sciences,https://www.ajol.info/index.php/ejesc,1998-8907,,,NO-STARS,,
Ethiopian Journal of Environmental Studies and Management,https://www.ajol.info/index.php/ejesm,,1998-0507,,ONE-STAR,,
Ethiopian Journal of Health Development,https://www.ajol.info/index.php/ejhd,,1021-6790,,NO-STARS,,
Ethiopian Journal of Health Sciences,https://www.ajol.info/index.php/ejhs,1029-1857,1029-1857,,ONE-STAR,,DOAJ
Ethiopian Journal of Science and Technology,https://www.ajol.info/index.php/ejst,1816-3378,2312-6019,,ONE-STAR,,
Ethiopian Journal of the Social Sciences and Humanities,https://www.ajol.info/index.php/ejossah,1810-4487,2520-582X,,NO-STARS,,
Ethiopian Veterinary Journal,https://www.ajol.info/index.php/evj,1683-6324,2221-5034,,NO-STARS,,
Ghana Journal of Agricultural Science,https://www.ajol.info/index.php/gjas,,0855-0042,,NO-STARS,,
Ghana Journal of Development Studies,https://www.ajol.info/index.php/gjds,,0855-6768,,NO-STARS,,
Ghana Journal of Geography,https://www.ajol.info/index.php/gjg,0855-9414,,,NO-STARS,,
Ghana Journal of Linguistics,https://www.ajol.info/index.php/gjl,2026-6596,,,NO-STARS,,
Ghana Journal of Science,https://www.ajol.info/index.php/gjs,,0855-1448,,NO-STARS,,
Ghana Medical Journal,https://www.ajol.info/index.php/gmj,0016-9560,,,ONE-STAR,,DOAJ
Ghana Mining Journal,https://www.ajol.info/index.php/gm,,0855-210X,,NO-STARS,,
Global Journal of Educational Research,https://www.ajol.info/index.php/gjedr,,1596-6224,,NO-STARS,,
Global Journal of Engineering Research,https://www.ajol.info/index.php/gjer,,1596-292X,,NO-STARS,,
Global Journal of Geological Sciences,https://www.ajol.info/index.php/gjgs,,1596-6798,,NO-STARS,,
Global Journal of Pure and Applied Sciences,https://www.ajol.info/index.php/gjpas,,1118-0579,,NO-STARS,,
Global Journal of Social Sciences,https://www.ajol.info/index.php/gjss,,1596-6216,,NO-STARS,,
Haramaya Law Review,https://www.ajol.info/index.php/hlr,2227-2178,2305-3739,,ONE-STAR,,
Health SA Gesondheid,https://www.ajol.info/index.php/hsa,1025-9848,2071-9736,,ONE-STAR,,
HTS Teologiese Studies / Theological Studies,https://www.ajol.info/index.php/hts,0259-9422,2072-8050,,ONE-STAR,,
Huria: Journal of the Open University of Tanzania,https://www.ajol.info/index.php/huria,,0856-6739,,NO-STARS,,
Ife Journal of Science,https://www.ajol.info/index.php/ijs,,0794-4896,,NO-STARS,,
Ilorin Journal of Religious Studies,https://www.ajol.info/index.php/ijrs,2141-7040,,,PENDING,,
Indo-Pacific Journal of Phenomenology,https://www.ajol.info/index.php/ipjp,2079-7222,1445-7377,,ONE-STAR,,
Information Impact: Journal of Information and Knowledge Management,https://www.ajol.info/index.php/iijikm,2141-4297,2360-994X,,NO-STARS,,
Inkanyiso: Journal of Humanities and Social Sciences,https://www.ajol.info/index.php/ijhss,,2077-2815,,ONE-STAR,,
"International Journal of Basic, Applied and Innovative Research",https://www.ajol.info/index.php/ijbair,2315-5388,2384-681X,,NO-STARS,,
International Journal of Biological and Chemical Sciences,https://www.ajol.info/index.php/ijbcs,1991-8631,1997-342X,,ONE-STAR,,
International Journal of Development and Management Review,https://www.ajol.info/index.php/ijdmr,1597-9482,2734-3316,,NO-STARS,,
"International Journal of Engineering, Science and Technology",https://www.ajol.info/index.php/ijest,2141-2820,2141-2839,,NO-STARS,,
International Journal of Modern Anthropology,https://www.ajol.info/index.php/ijma,1737-7374,1737-8176,,NO-STARS,,DOAJ
Internet Journal of Medical Update - EJOURNAL,https://www.ajol.info/index.php/ijmu,,1694-0423,,ONE-STAR,,
Jos Journal of Medicine,https://www.ajol.info/index.php/jjm,2006-0734,2006-0734,,NO-STARS,,
Journal of African Association of Physiological Sciences,https://www.ajol.info/index.php/jaaps,2315-9987,2449-108X,,ONE-STAR,,
Journal of Agricultural Extension,https://www.ajol.info/index.php/jae,1119-944X,2408-6851,,ONE-STAR,,
Journal of Applied Biosciences,https://www.ajol.info/index.php/jab,,1997-5902,,NO-STARS,,
Journal of Applied Sciences and Environmental Management,https://www.ajol.info/index.php/jasem,1119-8362,2659-1502,,NO-STARS,,
Journal of Basic and Clinical Reproductive Sciences,https://www.ajol.info/index.php/jbcrs,2278-960X,2320-2041,,ONE-STAR,,
Journal of Community Medicine and Primary Health Care,https://www.ajol.info/index.php/jcmphc,,0794-7410,,ONE-STAR,,
Journal of Consumer Sciences,https://www.ajol.info/index.php/jfecs,,0378-5254,,ONE-STAR,,
Journal of Development and Communication Studies,https://www.ajol.info/index.php/jdcs,2305-7432,,,NO-STARS,,
"Journal of Endocrinology, Metabolism and Diabetes of South Africa",https://www.ajol.info/index.php/jemdsa,1608-9677,2220-1009,Taylor and Francis,ONE-STAR,issns manually added,
Journal of Fundamental and Applied Sciences,https://www.ajol.info/index.php/jfas,,1112-9867,,ONE-STAR,,DOAJ
Journal of Humanities,https://www.ajol.info/index.php/jh,,1016-0728,,PENDING,,
"Journal of Language, Technology & Entrepreneurship in Africa",https://www.ajol.info/index.php/jolte,,1998-1279,,NO-STARS,,
Journal of Medical and Biomedical Sciences,https://www.ajol.info/index.php/jmbs,2026-6294,,,NO-STARS,,
Journal of Medicine and Biomedical Research,https://www.ajol.info/index.php/jmbr,,1596-6941,,NO-STARS,,
Journal of Phytomedicine and Therapeutics,https://www.ajol.info/index.php/jopat,,1118-1028,,NO-STARS,,
Journal of Religion and Human Relations,https://www.ajol.info/index.php/jrhr,2006-5442,,,NO-STARS,,
"Journal of Research in Forestry, Wildlife and Environment",https://www.ajol.info/index.php/jrfwe,2141-1778,,,NO-STARS,,
Journal of Science and Sustainable Development,https://www.ajol.info/index.php/jssd,2070-1748,2070-1748,,PENDING,,
Journal of Science and Technology (Ghana),https://www.ajol.info/index.php/just,,0855-0395,,ONE-STAR,,
Journal of Student Affairs in Africa,https://www.ajol.info/index.php/jssa,,2307-6267,,ONE-STAR,,DOAJ
Journal of Sustainable Development Law and Policy (The),https://www.ajol.info/index.php/jsdlp,2467-8406,2467-8392,,ONE-STAR,,DOAJ
Journal of the Cameroon Academy of Sciences,https://www.ajol.info/index.php/jcas,2617-3948,,,NO-STARS,,
Journal of the South African Society of Archivists,https://www.ajol.info/index.php/jsasa,1012-2796,,,ONE-STAR,,
KCA Journal of Business Management,https://www.ajol.info/index.php/kjbm,2072-7992,2071-2162,,ONE-STAR,,
"Law, Democracy & Development",https://www.ajol.info/index.php/ldd,2077-4907,2077-4907,,NO-STARS,,
Legon Journal of the Humanities,https://www.ajol.info/index.php/ljh,0855-1502,2458-746X,,ONE-STAR,,DOAJ
les cahiers du cread,https://www.ajol.info/index.php/cread,2437-0568,1012-0009,,PENDING,,
Lexikos,https://www.ajol.info/index.php/lex,1684-4904,2224-0039,,NO-STARS,,
Libyan Journal of Medicine,https://www.ajol.info/index.php/ljm,1993-2820,1819-6357,,ONE-STAR,,
Madagascar Conservation & Development,https://www.ajol.info/index.php/mcd,,1662-2510,,ONE-STAR,,
Makerere Journal of Higher Education,https://www.ajol.info/index.php/majohe,1816-6822,2707-6113,,ONE-STAR,,
Malawi Medical Journal,https://www.ajol.info/index.php/mmj,1995-7262,1995-7262,,ONE-STAR,,DOAJ
Medical Journal of Zambia,https://www.ajol.info/index.php/mjz,0047-651X,0047-651X,,NO-STARS,,
Mgbakoigba: Journal of African Studies,https://www.ajol.info/index.php/mjas,2346-7126,,,NO-STARS,,
