Journal title,Journal URL,ISSN,eISSN,Publisher,JPPS rating,Notes,in DOAJ
Mizan Law Review,https://www.ajol.info/index.php/mlr,1998-9881,2309-902X,,NO-STARS,,DOAJ
Momona Ethiopian Journal of Science,https://www.ajol.info/index.php/mejs,2073-073X,2220-184X,,ONE-STAR,,DOAJ
Nigeria Agricultural Journal,https://www.ajol.info/index.php/naj,,0300-368X,,NO-STARS,,
Nigeria Journal of Pure and Applied Physics,https://www.ajol.info/index.php/njpap,,1596-0862,,PENDING,,
Nigerian Health Journal,https://www.ajol.info/index.php/nhj,1597-4292,,,ONE-STAR,,
Nigerian Journal of Basic and Applied Sciences,https://www.ajol.info/index.php/njbas,0794-5698,,,NO-STARS,,
Nigerian Journal of Biotechnology,https://www.ajol.info/index.php/njb,0189-1731,,,NO-STARS,,
Nigerian Journal of Chemical Research,https://www.ajol.info/index.php/njcr,,1119-0221,,NO-STARS,,
Nigerian Journal of Clinical Practice,https://www.ajol.info/index.php/njcp,,1119-3077,,ONE-STAR,,
Nigerian Journal of Ophthalmology,https://www.ajol.info/index.php/njo,0189-9171,2468-8363,,ONE-STAR,,
Nigerian Journal of Paediatrics,https://www.ajol.info/index.php/njp,,0302-4660,,ONE-STAR,,
Nigerian Journal of Physiological Sciences,https://www.ajol.info/index.php/njps,,0794-859X,,ONE-STAR,,
Nigerian Journal of Surgery,https://www.ajol.info/index.php/njs,1117-6806,1117-6806,,ONE-STAR,,
Nigerian Journal of Technological Development,https://www.ajol.info/index.php/njtd,0189-9546,2437-2110,,ONE-STAR,,
Nigerian Journal of Technology,https://www.ajol.info/index.php/njt,0331-8443,2467-8821,,NO-STARS,,
Nigerian Veterinary Journal,https://www.ajol.info/index.php/nvj,,0331-3026,,NO-STARS,,
Nnamdi Azikiwe University Journal of International Law and Jurisprudence,https://www.ajol.info/index.php/naujilj,2276-7371,,,NO-STARS,,
OGIRISI: a New Journal of African Studies,https://www.ajol.info/index.php/og,,1597-474X,,NO-STARS,,
Open Veterinary Journal,https://www.ajol.info/index.php/ovj,2226-4485,2218-6050,,ONE-STAR,,DOAJ
ORiON,https://www.ajol.info/index.php/orion,,0529-191X,,ONE-STAR,,DOAJ
Oromia Law Journal,https://www.ajol.info/index.php/olj,2304-8239,,,ONE-STAR,,
Pan African Medical Journal,https://www.ajol.info/index.php/pamj,,1937-8688,,ONE-STAR,,
Potchefstroom Electronic Law Journal/Potchefstroomse Elektroniese Regsblad,https://www.ajol.info/index.php/pelj,,1727-3781,,ONE-STAR,,
Research in Hospitality Management,https://www.ajol.info/index.php/rhm,2224-3534,2415-5152,,TWO-STARS,,
Research Journal of Health Sciences,https://www.ajol.info/index.php/rejhs,2360-7793,2467-8252,,ONE-STAR,,
Rwanda Journal,https://www.ajol.info/index.php/rj,2305-2678,,,NO-STARS,,
"Rwanda Journal of Engineering, Science, Technology and Environment",https://www.ajol.info/index.php/rjeste,2617-2321,2617-233X,,NEW-TITLE,,
Rwanda Journal of Medicine and Health Sciences,https://www.ajol.info/index.php/rjmhs,2616-9819,2616-9827,,NEW-TITLE,,
Rwandan Journal of Education,https://www.ajol.info/index.php/rje,,2312-9239,,ONE-STAR,,
SA Journal of Radiology,https://www.ajol.info/index.php/sajr,1027-202X,2078-6778,,TWO-STARS,,DOAJ
SAHARA-J: Journal of Social Aspects of HIV/AIDS,https://www.ajol.info/index.php/saharaj,1729-0376,1813-4424,,TWO-STARS,,
Science World Journal,https://www.ajol.info/index.php/swj,,1597-6343,,NO-STARS,,
"Science, Technology and Arts Research Journal",https://www.ajol.info/index.php/star,2226-7522,2305-3372,,ONE-STAR,,
Scientia Militaria: South African Journal of Military Studies,https://www.ajol.info/index.php/smsajms,1022-8136,2224-0020,,NO-STARS,,
Scopus: Journal of East African Ornithology,https://www.ajol.info/index.php/scopus,0250-4162,2313-1799,,ONE-STAR,,
Sierra Leone Journal of Biomedical Research,https://www.ajol.info/index.php/sljbr,2076-6270,2076-6270,,ONE-STAR,,
Sokoto Journal of Veterinary Sciences,https://www.ajol.info/index.php/sokjvs,1595-093X,1595-093X,,ONE-STAR,,
South African Crime Quarterly,https://www.ajol.info/index.php/sacq,1991-3877,,,ONE-STAR,,DOAJ
South African Family Practice,https://www.ajol.info/index.php/safp,2078-6190,2078-6204,,ONE-STAR,,
South African Journal of Agricultural Extension,https://www.ajol.info/index.php/sajae,0301-603X,2413-3221,,NO-STARS,,
South African Journal of Animal Science,https://www.ajol.info/index.php/sajas,0375-1589,2221-4062,,ONE-STAR,,
South African Journal of Bioethics and Law,https://www.ajol.info/index.php/sajbl,,1999-7639,,ONE-STAR,,DOAJ
South African Journal of Chemistry,https://www.ajol.info/index.php/sajc,,0379-4350,,ONE-STAR,,DOAJ
South African Journal of Child Health,https://www.ajol.info/index.php/sajchh,1994-3032,1999-7671,,ONE-STAR,,DOAJ
South African Journal of Clinical Nutrition,https://www.ajol.info/index.php/sajcn,2078-6190,2078-6204,,ONE-STAR,,
South African Journal of Education,https://www.ajol.info/index.php/saje,0256-0100,2076-3433,,ONE-STAR,,
South African Journal of Geomatics,https://www.ajol.info/index.php/sajg,,2225-8531,,ONE-STAR,,
South African Journal of Obstetrics and Gynaecology,https://www.ajol.info/index.php/sajog,0038-2329,2305-8862,,ONE-STAR,,DOAJ
South African Journal of Psychiatry,https://www.ajol.info/index.php/sajpsyc,1608-9685,2078-6786,,ONE-STAR,,DOAJ
South African Journal of Sports Medicine,https://www.ajol.info/index.php/sasma,1015-5163,2078-516X,,ONE-STAR,,DOAJ
South African Journal of Surgery,https://www.ajol.info/index.php/sajs,0038-2361,2078-5151,,NO-STARS,,
South African Medical Journal,https://www.ajol.info/index.php/samj,2078-5135,0256-9574,,ONE-STAR,,DOAJ
South Sudan Medical Journal,https://www.ajol.info/index.php/ssmj,2309-4605,2309-4613,,ONE-STAR,,DOAJ
Southern African Business Review,https://www.ajol.info/index.php/sabr,1561-896X,1998-8125,,ONE-STAR,,
Southern African Journal of Anaesthesia and Analgesia,https://www.ajol.info/index.php/sajaa,2220-1181,2220-1173,,ONE-STAR,,
Southern African Journal of Critical Care,https://www.ajol.info/index.php/sajcc,1562-8264,2078-676X,,ONE-STAR,,DOAJ
Southern African Journal of Environmental Education,https://www.ajol.info/index.php/sajee,1810-0333,2411-5959,,ONE-STAR,,DOAJ
Southern African Journal of HIV Medicine,https://www.ajol.info/index.php/sajhivm,1608-9693,2078-6751,,TWO-STARS,,DOAJ
Stellenbosch Papers in Linguistics,https://www.ajol.info/index.php/spl,1027-3417,2223-9936,,ONE-STAR,,
Stellenbosch Papers in Linguistics Plus,https://www.ajol.info/index.php/splp,,2224-3380,,ONE-STAR,,
Sudan Journal of Medical Sciences,https://www.ajol.info/index.php/sjms,,1858-5051,,ONE-STAR,,DOAJ
Synthèse: Revue des Sciences et de la Technologie,https://www.ajol.info/index.php/srst,1111-4924,2352-9717,,NO-STARS,,DOAJ
Tanzania Dental Journal,https://www.ajol.info/index.php/tdj,,0856-0625,,PENDING,,
Tanzania Journal of Health Research,https://www.ajol.info/index.php/thrb,1821-6404,1821-9241,,ONE-STAR,,
Tanzania Journal of Science,https://www.ajol.info/index.php/tjs,0856-1761,2507-7961,,ONE-STAR,,
Tropical Journal of Obstetrics and Gynaecology,https://www.ajol.info/index.php/tjog,,0189-5117,,ONE-STAR,,DOAJ
Tropical Journal of Pharmaceutical Research,https://www.ajol.info/index.php/tjpr,1596-5996,1596-9827,,ONE-STAR,,
Tydskrif vir letterkunde,https://www.ajol.info/index.php/tvl,0041-476X,2309-9070,,ONE-STAR,,
UJAH: Unizik Journal of Arts and Humanities,https://www.ajol.info/index.php/ujah,,1595-1413,,NO-STARS,,
University of Dar es Salaam Library Journal,https://www.ajol.info/index.php/udslj,,0856-1818,,PENDING,,
Vulture News,https://www.ajol.info/index.php/vulnew,,1606-7479,,NO-STARS,,
Water SA,https://www.ajol.info/index.php/wsa,,0378-4738,,ONE-STAR,,DOAJ
West African Journal of Applied Ecology,https://www.ajol.info/index.php/wajae,,0855-4307,,NO-STARS,,
West African Journal of Industrial and Academic Research,https://www.ajol.info/index.php/wajiar,1116-5405,,,NO-STARS,,
Western Indian Ocean Journal of Marine Science,https://www.ajol.info/index.php/wiojms,0856-860X,0856-860X,,ONE-STAR,,
African Anthropologist,https://www.ajol.info/index.php/aa,,1024-0969,,INACTIVE-TITLE,,
African Journal of Applied Zoology and Environmental Biology,https://www.ajol.info/index.php/ajazeb,,1119-023X,,INACTIVE-TITLE,,
African Journal of Endocrinology and Metabolism,https://www.ajol.info/index.php/ajem,1116-6495,1116-6495,,INACTIVE-TITLE,,
African Journal of Health Sciences,https://www.ajol.info/index.php/ajhs,,1022-9272,,INACTIVE-TITLE,,
African Journal of International Affairs,https://www.ajol.info/index.php/ajia,,0850-7902,,INACTIVE-TITLE,,
African Journal of Psychiatry,https://www.ajol.info/index.php/ajpsy,,1994-8220,,INACTIVE-TITLE,,
African Journal of Science and Technology,https://www.ajol.info/index.php/ajst,,1607-9949,,INACTIVE-TITLE,,
Afrimedic Journal,https://www.ajol.info/index.php/afrij,2141-162X,,,INACTIVE-TITLE,,
Annals of African Medicine,https://www.ajol.info/index.php/aam,,1596-3519,,INACTIVE-TITLE,,
Arab Journal of Nephrology and Transplantation,https://www.ajol.info/index.php/ajnt,1858-554X,1858-554X,,INACTIVE-TITLE,,
Benin Journal of Postgraduate Medicine,https://www.ajol.info/index.php/bjpm,0795-0268,0795-0268,,INACTIVE-TITLE,,
Bio-Research,https://www.ajol.info/index.php/br,1596-7409,,,INACTIVE-TITLE,,
Biokemistri,https://www.ajol.info/index.php/biokem,,0795-8080,,INACTIVE-TITLE,,
Botswana Journal of Economics,https://www.ajol.info/index.php/boje,1810-0163,1810-0163,,INACTIVE-TITLE,,
Clinics in Mother and Child Health,https://www.ajol.info/index.php/cmch,1812-5840,2090-7214,,INACTIVE-TITLE,,
Continuing Medical Education,https://www.ajol.info/index.php/cme,0256-2170,2078-5143,,INACTIVE-TITLE,,
Dar Es Salaam Medical Students' Journal,https://www.ajol.info/index.php/dmsj,0856-7212,0856-7212,,INACTIVE-TITLE,,
East African Journal of Sciences,https://www.ajol.info/index.php/eajsci,,1992-0407,,INACTIVE-TITLE,,DOAJ
East and Central African Journal of Pharmaceutical Sciences,https://www.ajol.info/index.php/ecajps,,1026-552X,,INACTIVE-TITLE,,
Edo Journal of Counselling,https://www.ajol.info/index.php/ejc,2006-7593,2006-7593,,INACTIVE-TITLE,,
Egyptian Journal of Biology,https://www.ajol.info/index.php/ejb,,1110-6859,,INACTIVE-TITLE,,
Egyptian Journal of Natural History,https://www.ajol.info/index.php/ejnh,,1110-6867,,INACTIVE-TITLE,,
Ethiopian Journal of Business and Economics (The),https://www.ajol.info/index.php/ejbe,2311-9772,2410-2393,,INACTIVE-TITLE,,
Ethiopian Journal of Economics,https://www.ajol.info/index.php/eje,,1993-3681,,INACTIVE-TITLE,,
FUTY Journal of the Environment,https://www.ajol.info/index.php/fje,1597-8826,1597-8826,,INACTIVE-TITLE,,
Global Journal of Agricultural Sciences,https://www.ajol.info/index.php/gjass,,1596-2903,,INACTIVE-TITLE,,
Global Journal of Community Medicine,https://www.ajol.info/index.php/gjcm,1597-9857,1597-9857,,INACTIVE-TITLE,,
Global Journal of Environmental Sciences,https://www.ajol.info/index.php/gjes,,1596-6194,,INACTIVE-TITLE,,
Global Journal of Humanities,https://www.ajol.info/index.php/gjh,,1596-6232,,INACTIVE-TITLE,,
Global Journal of Mathematical Sciences,https://www.ajol.info/index.php/gjmas,,1596-6208,,INACTIVE-TITLE,,
Global Journal of Medical Sciences,https://www.ajol.info/index.php/gjms,,1596-2911,,INACTIVE-TITLE,,
Information Manager (The),https://www.ajol.info/index.php/tim,,1596-5422,,INACTIVE-TITLE,,
International Journal of Applied Agriculture and Apiculture Research,https://www.ajol.info/index.php/ijaaar,0331-5428,,,INACTIVE-TITLE,,
International Journal of Community Research,https://www.ajol.info/index.php/ijcr,2315-6562,2384-6828,,INACTIVE-TITLE,,
International Journal of Health Research,https://www.ajol.info/index.php/ijhr,,1596-9819,,INACTIVE-TITLE,,
International Journal of Herbs and Pharmacological Research,https://www.ajol.info/index.php/ijhpr,2315-537X,2384-6836,,INACTIVE-TITLE,,
International Journal of Medicine and Biomedical Research,https://www.ajol.info/index.php/ijmbr,2277-0941,2315-5019,,INACTIVE-TITLE,,
Journal of Agriculture and Social Research (JASR),https://www.ajol.info/index.php/jasr,,1595-7470,,INACTIVE-TITLE,,
Journal of Business and Administrative Studies,https://www.ajol.info/index.php/jbas,2077-3420,2077-3420,,INACTIVE-TITLE,,
Journal of Food Technology in Africa,https://www.ajol.info/index.php/jfta,,1028-6098,,INACTIVE-TITLE,,
Journal of Philosophy and Culture,https://www.ajol.info/index.php/jpc,,0855-6660,,INACTIVE-TITLE,,
Journal of Surgical Technique and Case Report,https://www.ajol.info/index.php/jstcr,2006-8808,2006-8808,,INACTIVE-TITLE,,
Journal of the Eritrean Medical Association,https://www.ajol.info/index.php/jema,1998-6017,1998-6017,,INACTIVE-TITLE,,
Journal of the Nigerian Optometric Association,https://www.ajol.info/index.php/jnoa,0795-0039,0795-0039,,INACTIVE-TITLE,,
Journal Tunisien d'ORL et de Chirurgie Cervico-Faciale,https://www.ajol.info/index.php/jtdorl,,1737-7803,,INACTIVE-TITLE,,
Malawi Journal of Science and Technology,https://www.ajol.info/index.php/mjst,,1019-7079,,INACTIVE-TITLE,,
Nigerian Journal of Surgical Research,https://www.ajol.info/index.php/njsr,,1595-1103,,INACTIVE-TITLE,,
Rwanda Journal of Health Sciences,https://www.ajol.info/index.php/rjhs,2226-728X,,,INACTIVE-TITLE,,
Samaru Journal of Information Studies,https://www.ajol.info/index.php/sjis,,1596-5414,,INACTIVE-TITLE,,
Sciences & Nature,https://www.ajol.info/index.php/scinat,,1812-0741,,INACTIVE-TITLE,,
SINET: Ethiopian Journal of Science,https://www.ajol.info/index.php/sinet,0379-2897,2520–7997,,INACTIVE-TITLE,,
"Southern Africa Journal of Education, Science and Technology",https://www.ajol.info/index.php/sajest,,1819-3692,,INACTIVE-TITLE,,
Studies in Gender and Development in Africa,https://www.ajol.info/index.php/sigada,,0855-9449,,INACTIVE-TITLE,,
Tanzania Journal of Agricultural Sciences,https://www.ajol.info/index.php/tjags,,,,INACTIVE-TITLE,,
Thought and Practice,https://www.ajol.info/index.php/tp,0251-043X,2076-7714,,INACTIVE-TITLE,,
Town and Regional Planning,https://www.ajol.info/index.php/trp,1012-280X,2415-0495,,INACTIVE-TITLE,,DOAJ
Uganda Journal of Agricultural Sciences,https://www.ajol.info/index.php/ujas,1026-0919,2410-6909,,INACTIVE-TITLE,,
University of Mauritius Research Journal,https://www.ajol.info/index.php/umrj,,1694-0342,,INACTIVE-TITLE,,
West African Journal of Medicine,https://www.ajol.info/index.php/wajm,,0189-160X,,INACTIVE-TITLE,,
Zede Journal,https://www.ajol.info/index.php/zj,0514-6216,,,INACTIVE-TITLE,,
Rwanda Journal of Agricultural Sciences,https://www.ajol.info/index.php/rjeas,,2707-7209,,BLANK,,
"Rwanda Journal of Social Sciences, Humanities and Business",https://www.ajol.info/index.php/rjsshb,,,,BLANK,,